IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES
"70.83.193.104","9/12/2008 2:21 AM","GMT","6.41","0.77","45","Montreal, QC","0"
"70.83.193.104","9/12/2008 2:25 AM","GMT","6.37","0.69","90","Los Angeles, CA","2450"
"70.83.193.104","9/12/2008 2:31 AM","GMT","4.76","0.64","49","Montreal, QC","0"
"70.83.193.104","6/30/2009 7:25 PM","GMT","7.16","0.69","8","Montreal, QC","0"
"70.83.193.104","6/30/2009 7:29 PM","GMT","6.92","0.75","9","Montreal, QC","0"
"70.83.193.104","6/30/2009 7:30 PM","GMT","7.12","0.74","31","Manchester, NH","200"
"70.83.193.104","3/2/2011 2:36 AM","GMT","18.14","1.05","11","Mount Royal, QC","0"
"70.83.193.104","3/2/2011 5:25 AM","GMT","12.88","1.56","9","Mount Royal, QC","0"
"70.83.193.104","3/2/2011 5:28 AM","GMT","13.04","1.56","9","Mount Royal, QC","0"
